United Nations,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Population Division,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Department of Economic and Social Affairs,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
World Population Prospects 2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"File POP/15-3: Annual female population by five-year age group, region, subregion and country, 1950-2100 (thousands)",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Estimates, 1950 - 2020",,,,,,,,,,,,,,,,,,,,,,,,,,,,
POP/DB/WPP/Rev.2019/POP/F15-3,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"© August 2019 by United Nations, made available under a Creative Commons license CC BY 3.0 IGO: http://creativecommons.org/licenses/by/3.0/igo/",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Suggested citation: United Nations, Department of Economic and Social Affairs, Population Division (2019). World Population Prospects 2019, Online Edition. Rev. 1.",,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,Female population by five-year age group (thousands),,,,,,,,,,,,,,,,,,,,
86,Estimates,UN development groups,a,1803,Label/Separator,900,1964,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...
87,Estimates,UN development groups,a,1803,Label/Separator,900,1965,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...
88,Estimates,UN development groups,a,1803,Label/Separator,900,1966,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...
89,Estimates,UN development groups,a,1803,Label/Separator,900,1967,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...
90,Estimates,UN development groups,a,1803,Label/Separator,900,1968,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...
91,Estimates,UN development groups,a,1803,Label/Separator,900,1969,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...
92,Estimates,UN development groups,a,1803,Label/Separator,900,1970,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...
93,Estimates,UN development groups,a,1803,Label/Separator,900,1971,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...
94,Estimates,UN development groups,a,1803,Label/Separator,900,1972,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...
95,Estimates,UN development groups,a,1803,Label/Separator,900,1973,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...
96,Estimates,UN development groups,a,1803,Label/Separator,900,1974,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...
97,Estimates,UN development groups,a,1803,Label/Separator,900,1975,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...
98,Estimates,UN development groups,a,1803,Label/Separator,900,1976,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...
99,Estimates,UN development groups,a,1803,Label/Separator,900,1977,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...
100,Estimates,UN development groups,a,1803,Label/Separator,900,1978,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...
101,Estimates,UN development groups,a,1803,Label/Separator,900,1979,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...
102,Estimates,UN development groups,a,1803,Label/Separator,900,1980,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...
103,Estimates,UN development groups,a,1803,Label/Separator,900,1981,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...
104,Estimates,UN development groups,a,1803,Label/Separator,900,1982,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...
105,Estimates,UN development groups,a,1803,Label/Separator,900,1983,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...
106,Estimates,UN development groups,a,1803,Label/Separator,900,1984,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...
107,Estimates,UN development groups,a,1803,Label/Separator,900,1985,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...
108,Estimates,UN development groups,a,1803,Label/Separator,900,1986,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...
109,Estimates,UN development groups,a,1803,Label/Separator,900,1987,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...
110,Estimates,UN development groups,a,1803,Label/Separator,900,1988,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...
111,Estimates,UN development groups,a,1803,Label/Separator,900,1989,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...
112,Estimates,UN development groups,a,1803,Label/Separator,900,1990,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...
113,Estimates,UN development groups,a,1803,Label/Separator,900,1991,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...
114,Estimates,UN development groups,a,1803,Label/Separator,900,1992,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...
115,Estimates,UN development groups,a,1803,Label/Separator,900,1993,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...
116,Estimates,UN development groups,a,1803,Label/Separator,900,1994,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...
117,Estimates,UN development groups,a,1803,Label/Separator,900,1995,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...
118,Estimates,UN development groups,a,1803,Label/Separator,900,1996,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...
119,Estimates,UN development groups,a,1803,Label/Separator,900,1997,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...
120,Estimates,UN development groups,a,1803,Label/Separator,900,1998,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...
121,Estimates,UN development groups,a,1803,Label/Separator,900,1999,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...
122,Estimates,UN development groups,a,1803,Label/Separator,900,2000,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...
123,Estimates,UN development groups,a,1803,Label/Separator,900,2001,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...
124,Estimates,UN development groups,a,1803,Label/Separator,900,2002,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...
125,Estimates,UN development groups,a,1803,Label/Separator,900,2003,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...
126,Estimates,UN development groups,a,1803,Label/Separator,900,2004,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...
127,Estimates,UN development groups,a,1803,Label/Separator,900,2005,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...
128,Estimates,UN development groups,a,1803,Label/Separator,900,2006,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...
129,Estimates,UN development groups,a,1803,Label/Separator,900,2007,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...
130,Estimates,UN development groups,a,1803,Label/Separator,900,2008,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...
131,Estimates,UN development groups,a,1803,Label/Separator,900,2009,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...
132,Estimates,UN development groups,a,1803,Label/Separator,900,2010,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...
133,Estimates,UN development groups,a,1803,Label/Separator,900,2011,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...
134,Estimates,UN development groups,a,1803,Label/Separator,900,2012,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...
135,Estimates,UN development groups,a,1803,Label/Separator,900,2013,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...
136,Estimates,UN development groups,a,1803,Label/Separator,900,2014,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...
137,Estimates,UN development groups,a,1803,Label/Separator,900,2015,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...
138,Estimates,UN development groups,a,1803,Label/Separator,900,2016,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...
139,Estimates,UN development groups,a,1803,Label/Separator,900,2017,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...
140,Estimates,UN development groups,a,1803,Label/Separator,900,2018,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...
141,Estimates,UN development groups,a,1803,Label/Separator,900,2019,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...
142,Estimates,UN development groups,a,1803,Label/Separator,900,2020,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...
143,Estimates,More developed regions,b,901,Development Group,1803,1950,40614,33201,36136,34045,36325,34277,27130,31645,29681,26745,23200,19833,17358,14250,10392,6593,3171,1349,402,85,14
144,Estimates,More developed regions,b,901,Development Group,1803,1951,42427,33416,35690,34103,35842,35158,27621,30779,30084,27242,23694,20173,17529,14458,10622,6817,3356,1404,449,91,13
145,Estimates,More developed regions,b,901,Development Group,1803,1952,42760,34487,34944,34706,35210,35779,29001,29474,30688,27732,24314,20630,17761,14733,10902,7032,3566,1425,478,103,12
146,Estimates,More developed regions,b,901,Development Group,1803,1953,42711,36286,33968,35494,34489,36056,30854,28010,31245,28135,24990,21126,18022,15037,11201,7235,3775,1422,489,111,12
147,Estimates,More developed regions,b,901,Development Group,1803,1954,42673,38380,33231,36020,33931,36047,32599,26976,31450,28493,25661,21640,18325,15352,11510,7444,3959,1419,470,105,12
148,Estimates,More developed regions,b,901,Development Group,1803,1955,42827,40092,33206,36051,33719,35841,33882,26755,31145,28876,26273,22191,18687,15674,11832,7674,4113,1433,416,79,11
149,Estimates,More developed regions,b,901,Development Group,1803,1956,42412,41437,33913,35692,33920,35528,34873,27315,30396,29447,26766,22816,19044,15879,12088,7898,4297,1602,456,87,11
150,Estimates,More developed regions,b,901,Development Group,1803,1957,42585,42272,35253,34786,34507,34891,35468,28656,29047,30112,27148,23473,19451,16081,12349,8124,4433,1747,475,102,10
151,Estimates,More developed regions,b,901,Development Group,1803,1958,43060,42589,37049,33702,35264,34137,35720,30470,27523,30686,27500,24132,19921,16318,12622,8365,4544,1848,484,113,10
152,Estimates,More developed regions,b,901,Development Group,1803,1959,43521,42599,38855,33019,35791,33574,35739,32221,26467,30889,27915,24763,20463,16630,12912,8622,4655,1908,477,109,10
153,Estimates,More developed regions,b,901,Development Group,1803,1960,43734,42662,40269,33089,35846,33382,35596,33556,26257,30580,28416,25353,21072,17033,13223,8899,4783,1927,453,82,10
154,Estimates,More developed regions,b,901,Development Group,1803,1961,43984,42869,41223,33851,35472,33560,35216,34520,26822,29779,28926,25819,21603,17359,13442,9149,4991,2077,539,88,10
155,Estimates,More developed regions,b,901,Development Group,1803,1962,43974,43111,41814,35316,34619,34195,34573,35138,28211,28457,29553,26256,22195,17754,13677,9408,5195,2178,608,103,10
156,Estimates,More developed regions,b,901,Development Group,1803,1963,43721,43391,42128,37171,33628,35025,33847,35432,30084,27000,30105,26699,22819,18218,13947,9681,5399,2233,655,115,10
157,Estimates,More developed regions,b,901,Development Group,1803,1964,43357,43647,42349,38908,33037,35612,33313,35475,31874,26008,30294,27185,23435,18743,14273,9964,5600,2266,663,114,10
158,Estimates,More developed regions,b,901,Development Group,1803,1965,42969,43787,42617,40208,33161,35707,33139,35327,33217,25841,29978,27713,24033,19321,14667,10256,5801,2294,626,90,10
159,Estimates,More developed regions,b,901,Development Group,1803,1966,42548,43845,42927,41179,33899,35387,33336,34954,34217,26415,29186,28184,24537,19804,14934,10465,6031,2498,717,108,10
160,Estimates,More developed regions,b,901,Development Group,1803,1967,42023,43817,43233,41766,35327,34560,33985,34294,34849,27812,27870,28761,25005,20359,15264,10650,6249,2659,774,140,10
161,Estimates,More developed regions,b,901,Development Group,1803,1968,41468,43703,43520,42067,37153,33560,34833,33541,35128,29704,26408,29277,25448,20970,15670,10832,6464,2763,809,164,10
